"","Comparison","SIMPER","OTU","krusk_p.val","fdr_krusk_p.val","Taxonomy","Left mean abund","Left stdev","Right mean abund","Right stdev"
"25","fluid_inert.control",0.00840678539945594,"Latescibacteria.Latescibacteria.Latescibacterales.Latescibacteraceae",0.153160159177595,0.380846160001182,"NA","0.00674347826086957","0.0124497106971483","0.0087","0.0244389289863529"
"26","fluid_inert.control",0.00765731022891702,"Deltaproteobacteria.Syntrophobacterales.Syntrophaceae",0.476825695525704,0.666923466755434,"NA","0.0115869565217391","0.0120370377036812","0.0102","0.0116984507521295"
"27","fluid_inert.control",0.00700346736838597,"Bacteroidetes.Ignavibacteria.Kryptoniales.BSV26",0.988892560164539,0.993905465521864,"NA","0.00484347826086957","0.00599172354069698","0.00914705882352941","0.0197594634810468"
"28","fluid_inert.control",0.00679940803108003,"Betaproteobacteria.Betaproteobacteriales.Burkholderiaceae",0.125204235583097,0.336050231101504,"NA","0.0109434782608696","0.0238195646492343","0.00161176470588235","0.0017233261273411"
"29","fluid_inert.control",0.00586834629591293,"Tenericutes.Mollicutes.Acholeplasmatales.Acholeplasmataceae",0.292916122950878,0.539290376943279,"NA","0.00911739130434783","0.0303696866235503","0.000117647058823529","0.000218618658048802"
"30","fluid_inert.control",0.00575696664154801,"Alphaproteobacteria.Other.Other",0.164296367116579,0.393560889018439,"NA","0.00349130434782609","0.00677615559037573","0.00662941176470588","0.0184789327582075"
"31","fluid_inert.control",0.00567724571073502,"Gammaproteobacteria.Pseudomonadales.Pseudomonadaceae",0.205131367596352,0.448769165551933,"NA","0.000365217391304348","0.000887595677635105","0.00872941176470588","0.0227974988953252"
"32","fluid_inert.control",0.00547941969723698,"Firmicutes.Clostridia.Clostridiales.Peptococcaceae",6.77108648485785e-05,0.00421711730135053,"NA","0.00899565217391304","0.0102115121425357","0.000794117647058824","0.00133906244637587"
"33","fluid_inert.control",0.00536820407770899,"Spirochaetes.uncultured.uncultured bacterium.uncultured bacterium",0.654549850307243,0.79628387201712,"NA","0.00694347826086956","0.0078107051297886","0.00511176470588235","0.00879132259339722"
"34","fluid_inert.control",0.00503603353265802,"Firmicutes.Clostridia.D8A-2.uncultured bacterium",0.596116238350981,0.75302545050167,"NA","0.00553478260869565","0.011676923968224","0.00409411764705882","0.0078415137719253"
"35","fluid_inert.control",0.00493334772465603,"Firmicutes.Clostridia.D8A-2.Other",0.607298576272591,0.758362194555936,"NA","0.0054695652173913","0.0110472717645007","0.00391176470588235","0.00819289954418925"
"36","fluid_inert.control",0.00442205113753302,"Deltaproteobacteria.Other.Other",0.0362429505497344,0.142385005783495,"NA","0.00830434782608696","0.00675994071120245","0.0046","0.00543265588823735"
"37","fluid_inert.control",0.00438219067212597,"Gammaproteobacteria.Methylococcales.Methylomonaceae",0.486945508898247,0.671846589985604,"NA","0.0065","0.0193122194007271","0.000870588235294118","0.00246367730889273"
"38","fluid_inert.control",0.00308713563351704,"Actinobacteria.Thermoleophilia.Gaiellales.uncultured",0.600397735194534,0.75302545050167,"NA","0.00243913043478261","0.00378006002001829","0.00333529411764706","0.0101831319578305"
